Month,Date_Month,Quarter,Date_Quarter,Updated_Date_Quarter,Year,Department,Cost_Category,Cost_Type,Project_Code,Budgeted_Amount,Actual_Amount,Approval_Status,Comments,Variance,Variance _Percentage
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Travel,Variable,PROJ001,17000,16500,Approved,Client visit expenses,-500,-2.9
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Salaries,Fixed,PROJ004,28000,28500,Approved,Monthly salaries,500,1.8
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9100,9200,Approved,Laptop upgrades,100,1.1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Training,Fixed,PROJ003,6700,6800,Approved,Sales skills workshop,100,1.5
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Supplies,Variable,PROJ005,4700,4600,Approved,Office supplies,-100,-2.1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Travel,Variable,PROJ006,18000,18500,Approved,Trade show attendance,500,2.8
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Salaries,Fixed,PROJ007,26000,25500,Approved,Team salaries,-500,-1.9
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,10000,9950,Pending,Ad campaign hardware,-50,-0.5
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Training,Fixed,PROJ008,7700,7650,Approved,Certifications,-50,-0.6
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Supplies,Variable,PROJ005,3700,3650,Approved,Stationery,-50,-1.4
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Travel,Variable,PROJ001,13000,13200,Approved,Vendor visits,200,1.5
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Salaries,Fixed,PROJ004,30000,30500,Approved,Developer salaries,500,1.7
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Equipment,Semi-Variable,PROJ002,18000,18500,Approved,Server upgrades,500,2.8
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Training,Fixed,PROJ009,8700,8800,Approved,Cybersecurity training,100,1.1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Supplies,Variable,PROJ005,4100,4000,Approved,Office supplies,-100,-2.4
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Travel,Variable,PROJ006,9800,9700,Approved,Site visits,-100,-1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Salaries,Fixed,PROJ007,27000,26500,Approved,Operations salaries,-500,-1.9
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11700,11900,Pending,Maintenance equipment,200,1.7
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Training,Fixed,PROJ008,6600,6550,Approved,Health & safety training,-50,-0.8
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Supplies,Variable,PROJ005,3350,3300,Approved,Warehouse supplies,-50,-1.5
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Travel,Variable,PROJ001,8700,8800,Approved,Recruitment travel,100,1.1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Salaries,Fixed,PROJ004,23000,23500,Approved,HR salaries,500,2.2
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7700,7600,Rejected,Old equipment disposal,-100,-1.3
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Training,Fixed,PROJ003,5600,5550,Approved,Leadership workshops,-50,-0.9
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Supplies,Variable,PROJ005,2950,2900,Approved,Office supplies,-50,-1.7
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Travel,Variable,PROJ001,17500,17000,Approved,Client visit expenses,-500,-2.9
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Salaries,Fixed,PROJ004,28500,29000,Approved,Monthly salaries,500,1.8
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9200,9300,Approved,Laptop upgrades,100,1.1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Training,Fixed,PROJ003,6800,6900,Approved,Sales skills workshop,100,1.5
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Supplies,Variable,PROJ005,4800,4700,Approved,Office supplies,-100,-2.1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Travel,Variable,PROJ006,18500,19000,Approved,Trade show attendance,500,2.7
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Salaries,Fixed,PROJ007,26500,26000,Approved,Team salaries,-500,-1.9
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,10100,10000,Pending,Ad campaign hardware,-100,-1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Training,Fixed,PROJ008,7800,7750,Approved,Certifications,-50,-0.6
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Supplies,Variable,PROJ005,3800,3750,Approved,Stationery,-50,-1.3
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Travel,Variable,PROJ001,13500,13700,Approved,Vendor visits,200,1.5
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Salaries,Fixed,PROJ004,30500,31000,Approved,Developer salaries,500,1.6
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Equipment,Semi-Variable,PROJ002,18500,19000,Approved,Server upgrades,500,2.7
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Training,Fixed,PROJ009,8800,8900,Approved,Cybersecurity training,100,1.1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Supplies,Variable,PROJ005,4200,4150,Approved,Office supplies,-50,-1.2
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Operations,Travel,Variable,PROJ006,9900,9800,Approved,Site visits,-100,-1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Operations,Salaries,Fixed,PROJ007,27500,27000,Approved,Operations salaries,-500,-1.8
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11800,12000,Pending,Maintenance equipment,200,1.7
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Operations,Training,Fixed,PROJ008,6700,6650,Approved,Health & safety training,-50,-0.7
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Operations,Supplies,Variable,PROJ005,3400,3350,Approved,Warehouse supplies,-50,-1.5
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,HR,Travel,Variable,PROJ001,8800,8900,Approved,Recruitment travel,100,1.1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,HR,Salaries,Fixed,PROJ004,23500,24000,Approved,HR salaries,500,2.1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7800,7700,Rejected,Old equipment disposal,-100,-1.3
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,HR,Training,Fixed,PROJ003,5700,5650,Approved,Leadership workshops,-50,-0.9
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,HR,Supplies,Variable,PROJ005,3000,2950,Approved,Office supplies,-50,-1.7
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Sales,Travel,Variable,PROJ001,18000,17500,Approved,Client visit expenses,-500,-2.8
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Sales,Salaries,Fixed,PROJ004,29000,29500,Approved,Monthly salaries,500,1.7
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9300,9400,Approved,Laptop upgrades,100,1.1
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Sales,Training,Fixed,PROJ003,6900,7000,Approved,Sales skills workshop,100,1.4
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Sales,Supplies,Variable,PROJ005,4900,4800,Approved,Office supplies,-100,-2
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Travel,Variable,PROJ006,19000,19500,Approved,Trade show attendance,500,2.6
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Salaries,Fixed,PROJ007,27000,26500,Approved,Team salaries,-500,-1.9
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,10200,10100,Pending,Ad campaign hardware,-100,-1
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Training,Fixed,PROJ008,7900,7850,Approved,Certifications,-50,-0.6
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Supplies,Variable,PROJ005,3900,3850,Approved,Stationery,-50,-1.3
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,IT,Travel,Variable,PROJ001,14000,14200,Approved,Vendor visits,200,1.4
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,IT,Salaries,Fixed,PROJ004,31000,31500,Approved,Developer salaries,500,1.6
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,IT,Equipment,Semi-Variable,PROJ002,19000,19500,Approved,Server upgrades,500,2.6
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,IT,Training,Fixed,PROJ009,8900,9000,Approved,Cybersecurity training,100,1.1
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,IT,Supplies,Variable,PROJ005,4300,4250,Approved,Office supplies,-50,-1.2
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Operations,Travel,Variable,PROJ006,10000,9950,Approved,Site visits,-50,-0.5
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Operations,Salaries,Fixed,PROJ007,28000,27500,Approved,Operations salaries,-500,-1.8
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11900,12100,Pending,Maintenance equipment,200,1.7
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Operations,Training,Fixed,PROJ008,6800,6750,Approved,Health & safety training,-50,-0.7
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,Operations,Supplies,Variable,PROJ005,3450,3400,Approved,Warehouse supplies,-50,-1.4
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,HR,Travel,Variable,PROJ001,8900,9000,Approved,Recruitment travel,100,1.1
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,HR,Salaries,Fixed,PROJ004,24000,24500,Approved,HR salaries,500,2.1
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7900,7800,Rejected,Old equipment disposal,-100,-1.3
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,HR,Training,Fixed,PROJ003,5800,5750,Approved,Leadership workshops,-50,-0.9
September,Sep-24,Q3,01/07/2024,Q3 2024,2024,HR,Supplies,Variable,PROJ005,3050,3000,Approved,Office supplies,-50,-1.6
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Sales,Travel,Variable,PROJ001,18500,18000,Approved,Client visit expenses,-500,-2.7
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Sales,Salaries,Fixed,PROJ004,29500,30000,Approved,Monthly salaries,500,1.7
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9400,9500,Approved,Laptop upgrades,100,1.1
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Sales,Training,Fixed,PROJ003,7000,7100,Approved,Sales skills workshop,100,1.4
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Sales,Supplies,Variable,PROJ005,5000,4900,Approved,Office supplies,-100,-2
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Travel,Variable,PROJ006,19500,20000,Approved,Trade show attendance,500,2.6
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Salaries,Fixed,PROJ007,27500,27000,Approved,Team salaries,-500,-1.8
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,10300,10200,Pending,Ad campaign hardware,-100,-1
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Training,Fixed,PROJ008,8000,7950,Approved,Certifications,-50,-0.6
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Supplies,Variable,PROJ005,4000,3950,Approved,Stationery,-50,-1.3
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,IT,Travel,Variable,PROJ001,14500,14700,Approved,Vendor visits,200,1.4
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,IT,Salaries,Fixed,PROJ004,31500,32000,Approved,Developer salaries,500,1.6
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,IT,Equipment,Semi-Variable,PROJ002,19500,20000,Approved,Server upgrades,500,2.6
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,IT,Training,Fixed,PROJ009,9000,9100,Approved,Cybersecurity training,100,1.1
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,IT,Supplies,Variable,PROJ005,4400,4350,Approved,Office supplies,-50,-1.1
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Operations,Travel,Variable,PROJ006,10100,10000,Approved,Site visits,-100,-1
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Operations,Salaries,Fixed,PROJ007,28500,28000,Approved,Operations salaries,-500,-1.8
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,12000,12200,Pending,Maintenance equipment,200,1.7
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Operations,Training,Fixed,PROJ008,6900,6850,Approved,Health & safety training,-50,-0.7
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,Operations,Supplies,Variable,PROJ005,3500,3450,Approved,Warehouse supplies,-50,-1.4
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,HR,Travel,Variable,PROJ001,9000,9100,Approved,Recruitment travel,100,1.1
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,HR,Salaries,Fixed,PROJ004,24500,25000,Approved,HR salaries,500,2
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,HR,Equipment,Semi-Variable,PROJ002,8000,7900,Rejected,Old equipment disposal,-100,-1.3
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,HR,Training,Fixed,PROJ003,5900,5850,Approved,Leadership workshops,-50,-0.8
October,Oct-24,Q4,01/10/2024,Q4 2024,2024,HR,Supplies,Variable,PROJ005,3100,3050,Approved,Office supplies,-50,-1.6
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Sales,Travel,Variable,PROJ001,19000,18500,Approved,Client visit expenses,-500,-2.6
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Sales,Salaries,Fixed,PROJ004,30000,30500,Approved,Monthly salaries,500,1.7
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9500,9600,Approved,Laptop upgrades,100,1.1
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Sales,Training,Fixed,PROJ003,7100,7200,Approved,Sales skills workshop,100,1.4
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Sales,Supplies,Variable,PROJ005,5100,5000,Approved,Office supplies,-100,-2
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Travel,Variable,PROJ006,20000,20500,Approved,Trade show attendance,500,2.5
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Salaries,Fixed,PROJ007,28000,27500,Approved,Team salaries,-500,-1.8
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,10400,10300,Pending,Ad campaign hardware,-100,-1
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Training,Fixed,PROJ008,8100,8050,Approved,Certifications,-50,-0.6
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Supplies,Variable,PROJ005,4100,4050,Approved,Stationery,-50,-1.2
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,IT,Travel,Variable,PROJ001,15000,15200,Approved,Vendor visits,200,1.3
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,IT,Salaries,Fixed,PROJ004,32000,32500,Approved,Developer salaries,500,1.6
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,IT,Equipment,Semi-Variable,PROJ002,20000,20500,Approved,Server upgrades,500,2.5
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,IT,Training,Fixed,PROJ009,9100,9200,Approved,Cybersecurity training,100,1.1
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,IT,Supplies,Variable,PROJ005,4500,4450,Approved,Office supplies,-50,-1.1
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Operations,Travel,Variable,PROJ006,10200,10100,Approved,Site visits,-100,-1
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Operations,Salaries,Fixed,PROJ007,29000,28500,Approved,Operations salaries,-500,-1.7
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,12100,12300,Pending,Maintenance equipment,200,1.7
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Operations,Training,Fixed,PROJ008,7000,6950,Approved,Health & safety training,-50,-0.7
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,Operations,Supplies,Variable,PROJ005,3550,3500,Approved,Warehouse supplies,-50,-1.4
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,HR,Travel,Variable,PROJ001,9100,9200,Approved,Recruitment travel,100,1.1
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,HR,Salaries,Fixed,PROJ004,25000,25500,Approved,HR salaries,500,2
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,HR,Equipment,Semi-Variable,PROJ002,8100,8000,Rejected,Old equipment disposal,-100,-1.2
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,HR,Training,Fixed,PROJ003,6000,5950,Approved,Leadership workshops,-50,-0.8
November,Nov-24,Q4,01/10/2024,Q4 2024,2024,HR,Supplies,Variable,PROJ005,3150,3100,Approved,Office supplies,-50,-1.6
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Sales,Travel,Variable,PROJ001,19500,19000,Approved,Client visit expenses,-500,-2.6
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Sales,Salaries,Fixed,PROJ004,30500,31000,Approved,Monthly salaries,500,1.6
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9600,9700,Approved,Laptop upgrades,100,1
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Sales,Training,Fixed,PROJ003,7200,7300,Approved,Sales skills workshop,100,1.4
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Sales,Supplies,Variable,PROJ005,5200,5100,Approved,Office supplies,-100,-1.9
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Travel,Variable,PROJ006,20500,21000,Approved,Trade show attendance,500,2.4
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Salaries,Fixed,PROJ007,28500,28000,Approved,Team salaries,-500,-1.8
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,10500,10400,Pending,Ad campaign hardware,-100,-1
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Training,Fixed,PROJ008,8200,8150,Approved,Certifications,-50,-0.6
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Marketing,Supplies,Variable,PROJ005,4200,4150,Approved,Stationery,-50,-1.2
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,IT,Travel,Variable,PROJ001,15500,15700,Approved,Vendor visits,200,1.3
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,IT,Salaries,Fixed,PROJ004,32500,33000,Approved,Developer salaries,500,1.5
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,IT,Equipment,Semi-Variable,PROJ002,20500,21000,Approved,Server upgrades,500,2.4
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,IT,Training,Fixed,PROJ009,9200,9300,Approved,Cybersecurity training,100,1.1
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,IT,Supplies,Variable,PROJ005,4600,4550,Approved,Office supplies,-50,-1.1
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Operations,Travel,Variable,PROJ006,10300,10200,Approved,Site visits,-100,-1
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Operations,Salaries,Fixed,PROJ007,29500,29000,Approved,Operations salaries,-500,-1.7
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,12200,12400,Pending,Maintenance equipment,200,1.6
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Operations,Training,Fixed,PROJ008,7100,7050,Approved,Health & safety training,-50,-0.7
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,Operations,Supplies,Variable,PROJ005,3600,3550,Approved,Warehouse supplies,-50,-1.4
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,HR,Travel,Variable,PROJ001,9200,9300,Approved,Recruitment travel,100,1.1
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,HR,Salaries,Fixed,PROJ004,25500,26000,Approved,HR salaries,500,2
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,HR,Equipment,Semi-Variable,PROJ002,8200,8100,Rejected,Old equipment disposal,-100,-1.2
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,HR,Training,Fixed,PROJ003,6100,6050,Approved,Leadership workshops,-50,-0.8
December,Dec-24,Q4,01/10/2024,Q4 2024,2024,HR,Supplies,Variable,PROJ005,3200,3150,Approved,Office supplies,-50,-1.6
